m/z	intensity
122.07783	0.0
122.079384	23.0
122.08093	0.0
122.08248	35.0
122.08403	0.0
122.09023	0.0
122.09178	23.0
122.09333	35.0
122.09489	59.0
122.096436	95.0
122.097984	59.0
122.09953	47.0
122.10108	0.0
123.040855	0.0
123.04241	23.0
123.04397	0.0
123.04708	0.0
123.04864	23.0
123.05019	0.0
123.05175	0.0
123.05331	23.0
123.05486	23.0
123.05642	0.0
123.057976	47.0
123.05953	0.0
123.075096	0.0
123.07665	23.0
123.07821	47.0
123.079765	23.0
123.08132	23.0
123.08288	35.0
123.084435	71.0
123.08599	23.0
123.08755	0.0
123.09066	0.0
123.09222	23.0
123.09377	0.0
123.096886	0.0
123.09844	35.0
123.1	0.0
123.10778	0.0
123.10934	35.0
123.11089	0.0
123.11246	35.0
123.11401	35.0
123.11557	47.0
123.11713	61.0
123.11868	0.0
123.12024	47.0
123.121796	23.0
123.12335	0.0
124.07329	0.0
124.07485	23.0
124.076416	0.0
124.079544	0.0
124.0811	23.0
124.082664	0.0
124.08423	0.0
124.08579	47.0
124.08736	23.0
124.08892	0.0
124.090485	0.0
124.09204	35.0
124.093605	0.0
124.112366	0.0
124.11393	35.0
124.115486	0.0
124.118614	0.0
124.12018	23.0
124.12174	0.0
124.69294	0.0
124.69451	23.0
124.696075	0.0
124.92022	0.0
124.92179	23.0
124.923355	0.0
125.02845	0.0
125.030014	23.0
125.031586	0.0
125.055115	0.0
125.05669	23.0
125.05826	0.0
125.05982	23.0
125.06139	0.0
125.0661	0.0
125.06767	35.0
125.06924	0.0
125.088066	0.0
125.08964	23.0
125.09121	0.0
125.09278	23.0
125.094345	59.0
125.09592	0.0
125.09749	68.0
125.09905	35.0
125.100624	0.0
125.102196	23.0
125.10376	0.0
125.10533	47.0
125.1069	35.0
125.10847	0.0
125.11004	35.0
125.11161	0.0
125.127304	0.0
125.128876	35.0
125.13044	0.0
125.13201	0.0
125.13358	23.0
125.13515	0.0
125.97782	0.0
125.97939	23.0
125.980965	47.0
125.982544	59.0
125.984116	140.0
125.985695	92.0
125.98727	185.0
125.98884	47.0
125.99042	0.0
125.99199	35.0
125.99357	0.0
126.08807	0.0
126.08965	23.0
126.091225	0.0
126.12274	0.0
126.12431	23.0
126.12589	35.0
126.127464	0.0
126.99085	0.0
126.99243	23.0
126.99402	0.0
127.01615	0.0
127.01773	23.0
127.01932	0.0
127.06834	0.0
127.06992	23.0
127.0715	0.0
127.07308	23.0
127.07467	47.0
127.07625	23.0
127.07783	59.0
127.079414	0.0
127.08099	0.0
127.08257	47.0
127.08416	0.0
127.10788	0.0
127.10947	35.0
127.111046	35.0
127.112625	0.0
127.11421	35.0
127.11579	23.0
127.11737	0.0
128.10004	0.0
128.10162	23.0
128.10321	59.0
128.1048	98.0
128.10638	59.0
128.10797	23.0
128.10956	35.0
128.11115	23.0
128.11273	59.0
128.11432	0.0
128.11592	23.0
128.11751	0.0
128.13974	0.0
128.14133	35.0
128.14291	0.0
128.94624	0.0
128.94783	23.0
128.94942	0.0
128.95102	23.0
128.9526	23.0
128.95421	0.0
129.03867	0.0
129.04025	47.0
129.04185	0.0
129.04344	0.0
129.04503	23.0
129.04663	47.0
129.04822	77.0
129.04982	78.0
129.0514	179.0
129.05301	140.0
129.0546	131.0
129.0562	59.0
129.05779	85.0
129.05939	0.0
129.06256	0.0
129.06416	35.0
129.06575	0.0
129.07054	0.0
129.07213	23.0
129.07373	0.0
129.08807	0.0
129.08966	47.0
129.09126	0.0
129.09445	0.0
129.09604	23.0
129.09764	59.0
129.09923	47.0
129.10083	160.0
129.10242	120.0
129.10402	79.0
129.1056	65.0
129.10721	0.0
129.1088	23.0
129.1104	47.0
129.11198	0.0
129.12314	0.0
129.12474	23.0
129.12633	0.0
129.1327	0.0
129.13431	47.0
129.1359	0.0
129.1375	23.0
129.13908	23.0
129.14069	59.0
129.14227	63.0
129.14388	0.0
129.14546	35.0
129.14706	23.0
129.14865	0.0
130.0655	0.0
130.06711	23.0
130.06871	23.0
130.07031	0.0
130.07831	0.0
130.07991	23.0
130.08151	0.0
130.0831	23.0
130.0847	0.0
130.0863	23.0
130.0879	0.0
130.08951	23.0
130.09111	0.0
130.0959	0.0
130.0975	35.0
130.0991	0.0
130.12152	0.0
130.12312	23.0
130.12471	0.0
130.12631	0.0
130.12791	23.0
130.12952	0.0
130.15033	0.0
130.15193	67.0
130.15353	257.0
130.15512	132.0
130.15672	485.0
130.15833	579.0
130.15993	257.0
130.16153	294.0
130.16313	85.0
130.16473	147.0
130.16634	47.0
130.16794	0.0
130.16954	0.0
130.17113	23.0
130.17273	0.0
130.62454	0.0
130.62614	23.0
130.62776	0.0
130.97435	0.0
130.97597	23.0
130.97757	0.0
130.97917	35.0
130.98077	23.0
130.98239	0.0
131.0659	0.0
131.0675	23.0
131.0691	23.0
131.07072	23.0
131.07233	0.0
131.07875	0.0
131.08035	23.0
131.08195	0.0
131.08357	0.0
131.08517	47.0
131.08678	35.0
131.0884	0.0
131.0932	0.0
131.09482	23.0
131.09642	0.0
131.11249	0.0
131.11409	23.0
131.11569	91.0
131.11731	47.0
131.11891	35.0
131.12051	23.0
131.12213	35.0
131.12373	23.0
131.12534	0.0
131.15425	0.0
131.15587	23.0
131.15747	0.0
131.15907	0.0
131.16069	76.0
131.1623	23.0
131.1639	35.0
131.16551	0.0
131.16711	0.0
131.16872	23.0
131.17033	0.0
131.97017	0.0
131.97179	23.0
131.9734	0.0
132.05078	0.0
132.05238	23.0
132.054	0.0
132.06851	0.0
132.07013	23.0
132.07173	0.0
132.07497	0.0
132.07657	23.0
132.07819	0.0
132.0814	0.0
132.08302	35.0
132.08464	0.0
132.10077	0.0
132.10237	23.0
132.10399	0.0
132.14914	0.0
132.15076	23.0
132.15237	23.0
132.15398	0.0
132.9811	0.0
132.98271	35.0
132.98433	0.0
132.98595	35.0
132.98756	35.0
132.98918	0.0
133.0458	0.0
133.04744	35.0
133.04906	0.0
133.05876	0.0
133.06038	35.0
133.062	0.0
133.06361	23.0
133.06523	35.0
133.06685	35.0
133.06847	0.0
133.07819	0.0
133.0798	35.0
133.08142	59.0
133.08304	130.0
133.08466	149.0
133.08627	188.0
133.08789	0.0
133.08951	59.0
133.09113	35.0
133.09274	63.0
133.09438	23.0
133.096	23.0
133.09761	47.0
133.09923	0.0
133.10085	47.0
133.10246	0.0
133.10408	35.0
133.1057	0.0
133.97636	0.0
133.978	23.0
133.97961	0.0
133.98125	23.0
133.98286	0.0
133.99586	0.0
133.99748	23.0
133.9991	0.0
134.09332	0.0
134.09496	23.0
134.09657	0.0
134.10144	0.0
134.10307	47.0
134.10469	23.0
134.10632	0.0
134.11769	0.0
134.11932	23.0
134.12094	0.0
134.97536	0.0
134.97699	35.0
134.97862	35.0
134.98026	0.0
134.98189	35.0
134.9835	0.0
134.99982	0.0
135.00145	59.0
135.00308	0.0
135.0047	23.0
