m/z	intensity
108.051155	19.0
108.05261	54.0
108.05407	42.0
108.05553	14.0
108.056984	9.0
108.05845	0.0
108.06428	0.0
108.06574	9.0
108.0672	0.0
108.06866	0.0
108.070114	9.0
108.07157	9.0
108.07303	14.0
108.07449	14.0
108.07595	19.0
108.07741	19.0
108.078865	31.0
108.08032	49.0
108.08178	14.0
108.083244	9.0
108.0847	0.0
108.08616	9.0
108.087616	9.0
108.08907	14.0
108.09054	9.0
108.091995	0.0
108.09637	0.0
108.09783	14.0
108.09929	0.0
108.47305	0.0
108.47451	9.0
108.475975	0.0
109.01147	0.0
109.01293	9.0
109.0144	0.0
109.05835	0.0
109.059814	29.0
109.06128	24.0
109.062744	97.0
109.06421	135.0
109.065674	71.0
109.06714	36.0
109.06861	19.0
109.070076	9.0
109.07154	0.0
109.073006	9.0
109.07447	24.0
109.075935	19.0
109.0774	14.0
109.078865	0.0
109.08033	9.0
109.081795	9.0
109.08326	0.0
109.09352	0.0
109.094986	14.0
109.09645	44.0
109.097916	70.0
109.09938	148.0
109.100845	88.0
109.10231	85.0
109.103775	144.0
109.10524	19.0
109.106705	14.0
109.10818	0.0
110.00399	0.0
110.00546	43.0
110.006935	39.0
110.00841	58.0
110.00987	40.0
110.011345	24.0
110.01282	9.0
110.01429	0.0
110.01576	0.0
110.017235	9.0
110.01871	0.0
110.02018	9.0
110.02165	0.0
110.055504	0.0
110.05697	19.0
110.05844	14.0
110.05991	14.0
110.061386	9.0
110.06286	0.0
110.06433	14.0
110.0658	0.0
110.095245	0.0
110.09672	9.0
110.09819	0.0
110.10408	0.0
110.10555	9.0
110.107025	0.0
110.956665	0.0
110.958145	9.0
110.959625	0.0
111.00397	0.0
111.00545	9.0
111.00692	9.0
111.0084	24.0
111.00988	9.0
111.01136	0.0
111.01579	0.0
111.01727	9.0
111.018745	0.0
111.02614	0.0
111.02762	9.0
111.0291	0.0
111.03649	0.0
111.037964	19.0
111.039444	9.0
111.040924	38.0
111.042404	173.0
111.043884	114.0
111.04536	60.0
111.04684	60.0
111.04832	27.0
111.0498	19.0
111.05128	19.0
111.05275	24.0
111.05423	33.0
111.05571	0.0
111.05719	9.0
111.05867	24.0
111.06014	9.0
111.06162	0.0
111.073456	0.0
111.07493	14.0
111.07641	14.0
111.07789	24.0
111.07937	86.0
111.08085	25.0
111.08233	26.0
111.0838	9.0
111.08528	61.0
111.08676	35.0
111.08824	130.0
111.08972	278.0
111.091194	83.0
111.092674	98.0
